City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Velingara,SN,13.15,-14.1167,92.53,19,98,1.92,overcast clouds
267,Florencia,IT,43.7667,11.25,65.1,73,40,11.5,scattered clouds
268,Necochea,AR,-38.5473,-58.7368,66.45,75,69,3.69,broken clouds
269,Antigonish,CA,45.6169,-61.9986,45.01,94,100,4.88,overcast clouds
270,Komsomolskiy,UZ,40.4272,71.7189,43.52,81,93,2.3,mist
271,Pangoa,PE,-12.1167,-73.0,74.08,91,100,1.36,overcast clouds
272,Takoradi,GH,4.8845,-1.7554,83.55,68,100,7.56,overcast clouds
273,Lebork,PL,54.5392,17.7501,55.92,98,100,2.77,overcast clouds
274,Pimentel,PE,-6.8367,-79.9342,62.89,88,100,6.91,overcast clouds
275,Cacoal,BR,-11.4386,-61.4472,86.14,56,54,4.68,broken clouds
276,Mandera,KE,3.9366,41.867,90.7,39,75,8.77,broken clouds
277,Codrington,AU,-38.2667,141.9667,54.14,95,100,7.94,overcast clouds
278,Thompson,CA,55.7435,-97.8558,-5.64,84,0,2.3,clear sky
279,Borba,BR,-4.3878,-59.5939,92.19,44,59,3.98,broken clouds
280,Altay,CN,47.8667,88.1167,26.35,77,91,5.7,overcast clouds
281,College,US,64.8569,-147.8028,19.08,87,75,0.0,broken clouds
282,Cayenne,GF,4.9333,-52.3333,82.44,83,75,5.75,broken clouds
283,Walvis Bay,NA,-22.9575,14.5053,77.95,38,0,16.11,sand
284,Araouane,ML,18.9048,-3.5265,92.53,10,100,13.27,overcast clouds
285,Catuday,PH,16.2923,119.8062,81.34,81,23,6.46,few clouds
286,Dingle,PH,10.9995,122.6711,77.18,91,68,6.98,broken clouds
287,Ketchikan,US,55.3422,-131.6461,41.94,97,100,8.68,light rain
288,Tapejara,BR,-28.0681,-52.0139,67.1,88,100,7.87,overcast clouds
289,Bako,ET,5.7833,36.5667,75.9,51,90,3.24,overcast clouds
290,Marquette,US,46.5333,-87.6335,25.34,87,91,7.54,light snow
291,San Quintin,MX,30.4833,-115.95,57.61,69,84,10.02,broken clouds
292,Nouakchott,MR,18.0858,-15.9785,87.73,23,13,8.23,few clouds
293,Bartica,GY,6.4,-58.6167,81.81,76,99,1.19,overcast clouds
294,Lydenburg,ZA,-25.0978,30.4597,66.4,89,88,5.06,moderate rain
295,Sakaiminato,JP,35.55,133.2333,58.98,77,75,12.66,light rain
296,Taltal,CL,-25.4,-70.4833,65.28,59,0,4.88,clear sky
297,Hambantota,LK,6.1241,81.1185,79.14,100,75,2.3,thunderstorm
298,Cabo San Lucas,MX,22.8909,-109.9124,63.61,79,32,4.05,scattered clouds
299,Kaeo,NZ,-35.1,173.7833,54.19,93,21,4.94,few clouds
300,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,63,100,10.63,overcast clouds
301,Gizo,SB,-8.103,156.8419,81.95,75,100,5.91,light rain
302,Tam Ky,VN,15.5667,108.4833,76.06,90,8,0.89,clear sky
303,Margate,GB,51.3813,1.3862,60.31,93,100,4.0,overcast clouds
304,Husavik,IS,66.0449,-17.3389,39.13,82,66,10.22,broken clouds
305,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,100,40.29,overcast clouds
306,Barrow,US,71.2906,-156.7887,23.02,80,100,12.66,light snow
307,Diego De Almagro,CL,-26.3667,-70.05,63.54,30,0,3.02,clear sky
308,Bocanda,CI,7.0626,-4.4995,86.92,63,100,1.99,light rain
309,Isangel,VU,-19.55,169.2667,77.09,84,8,6.49,clear sky
310,Bistret,RO,43.9,23.5,59.97,48,0,5.55,clear sky
311,Kawalu,ID,-7.3817,108.2082,73.33,99,100,1.63,moderate rain
312,Hasaki,JP,35.7333,140.8333,66.29,91,97,14.25,overcast clouds
313,Da Lat,VN,11.9465,108.4419,60.75,98,65,3.42,broken clouds
314,Ponta Do Sol,PT,32.6667,-17.1,77.0,80,77,1.88,broken clouds
315,Kaitangata,NZ,-46.2817,169.8464,46.99,81,95,4.76,overcast clouds
316,Elizabeth City,US,36.2946,-76.2511,57.02,93,100,18.41,overcast clouds
317,Monywa,MM,22.1167,95.1333,75.4,63,0,4.23,clear sky
318,Swellendam,ZA,-34.0226,20.4417,79.18,24,6,12.44,clear sky
319,Chokurdakh,RU,70.6333,147.9167,-32.06,100,66,5.41,broken clouds
320,Harare,ZW,-17.8294,31.0539,74.3,53,100,6.42,overcast clouds
321,Stettler,CA,52.3168,-112.7186,10.15,100,100,9.22,overcast clouds
322,Karaman,TR,37.0833,33.25,52.36,44,0,10.85,clear sky
323,Jardim,BR,-21.4803,-56.1381,83.79,57,10,13.35,clear sky
324,Pyu,MM,18.4833,96.4333,74.32,80,100,4.38,overcast clouds
325,Tongliao,CN,43.6125,122.2653,25.14,61,8,7.14,clear sky
326,Wanning,CN,18.8003,110.3967,76.96,86,77,6.62,broken clouds
327,Waddan,LY,29.1614,16.139,73.51,32,8,0.43,clear sky
328,Bonavista,CA,48.6499,-53.1147,35.4,75,100,18.9,overcast clouds
329,Yinchuan,CN,38.4681,106.2731,45.34,26,100,1.19,overcast clouds
330,Coahuayana,MX,18.7333,-103.6833,70.12,88,77,3.18,broken clouds
331,Vrangel,RU,42.7297,133.0839,32.13,63,0,13.06,clear sky
332,Santa Maria Del Oro,MX,25.9333,-105.3667,46.36,63,6,2.42,clear sky
333,Naze,JP,28.3667,129.4833,70.72,83,67,14.97,broken clouds
334,Oswego,US,43.4501,-76.1497,42.35,91,95,7.47,light rain
335,Kachug,RU,53.9606,105.8817,19.49,87,100,1.48,overcast clouds
336,Northam,GB,51.0333,-4.2167,63.39,86,100,15.66,overcast clouds
337,Energetik,RU,51.7445,58.7934,39.9,93,100,17.69,overcast clouds
338,Archidona,ES,37.0965,-4.3887,67.84,40,0,8.32,clear sky
339,Puerto Del Rosario,ES,28.5004,-13.8627,80.35,29,0,11.5,clear sky
340,Vidim,RU,56.4088,103.1106,27.55,97,100,7.74,snow
341,Carballo,ES,43.213,-8.691,69.49,70,100,11.99,overcast clouds
342,Payo,ID,-3.7508,103.6372,74.95,96,100,1.16,light rain
343,Caapucu,PY,-26.2167,-57.2,71.65,84,100,3.98,overcast clouds
344,Krasnyy Kut,RU,50.95,46.9667,45.81,64,21,23.42,few clouds
345,Mokhsogollokh,RU,61.4681,128.9203,-8.03,100,82,3.49,broken clouds
